                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9137,                 3.0883,                 1.9612,                0.33603,                0.48043,                0.34892,                0.14967,                  1.838,                 2.6524,                  1.942,             0.00036957,             0.00036957,             0.00036957
                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9137,                 3.0883,                 1.9612,                0.33603,                0.48043,                0.34892,                0.14967,                  1.838,                 2.6524,                  1.942,             0.00036957,             0.00036957,             0.00036957
                      2,                  1.897,                 2.6027,                 1.9512,                0.42277,                0.49571,                0.41984,                 0.1823,                 1.9119,                 2.4694,                 1.9505,             0.00066665,             0.00066665,             0.00066665
                      2,                  1.897,                 2.6027,                 1.9512,                0.42277,                0.49571,                0.41984,                 0.1823,                 1.9119,                 2.4694,                 1.9505,             0.00066665,             0.00066665,             0.00066665
                      3,                 1.9053,                 2.4274,                 1.9274,                0.46749,                0.46233,                0.42894,                0.19056,                 1.9214,                 2.3689,                 1.9421,             0.00089041,             0.00089041,             0.00089041
                      3,                 1.9053,                 2.4274,                 1.9274,                0.46749,                0.46233,                0.42894,                0.19056,                 1.9214,                 2.3689,                 1.9421,             0.00089041,             0.00089041,             0.00089041
                      4,                 1.9026,                 2.3055,                 1.9274,                0.52835,                0.49183,                0.48243,                0.20739,                  1.851,                 2.1704,                 1.9326,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.8764,                 2.1864,                 1.9067,                0.55848,                0.52762,                0.52872,                0.23575,                 1.8237,                 1.9786,                 1.8766,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.8764,                 2.1864,                 1.9067,                0.55848,                0.52762,                0.52872,                0.23575,                 1.8237,                 1.9786,                 1.8766,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.8421,                 2.0215,                 1.8775,                0.57052,                0.54229,                0.55202,                0.24135,                 1.8589,                 1.9142,                   1.91,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.8041,                 1.9331,                 1.8483,                0.59687,                0.57154,                0.57621,                0.25386,                 1.7997,                 1.8456,                 1.8405,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.8041,                 1.9331,                 1.8483,                0.59687,                0.57154,                0.57621,                0.25386,                 1.7997,                 1.8456,                 1.8405,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.7708,                 1.8296,                 1.8105,                 0.6595,                0.57754,                0.60903,                0.27505,                 1.7885,                  1.763,                 1.8416,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.7708,                 1.8296,                 1.8105,                 0.6595,                0.57754,                0.60903,                0.27505,                 1.7885,                  1.763,                 1.8416,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.7383,                 1.7415,                 1.7742,                0.63686,                0.61331,                0.61292,                0.27607,                 1.7781,                 1.7572,                 1.8086,             0.00034108,             0.00034108,             0.00034108
                      9,                 1.7383,                 1.7415,                 1.7742,                0.63686,                0.61331,                0.61292,                0.27607,                 1.7781,                 1.7572,                 1.8086,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.7147,                 1.6598,                 1.7647,                0.67954,                0.60509,                 0.6417,                0.29192,                 1.7488,                 1.6787,                 1.7883,             0.00023109,             0.00023109,             0.00023109
                     10,                 1.7147,                 1.6598,                 1.7647,                0.67954,                0.60509,                 0.6417,                0.29192,                 1.7488,                 1.6787,                 1.7883,             0.00023109,             0.00023109,             0.00023109
